name, cost, form, career_winrate, year_winrate
Kento Momota,	11.6,	2.8, 79.3,	0
Chen Long,	9.2,	2.2,	80.6,	0
Shi Yuqi,	9.3,	2,	74.7,	0
Chou Tien Chen,	8.7,	0.6,	63.8,	0
Son Wan Ho,	7.6,	0.4,	65.2,	0
Viktor Axelsen,	8.7,	2.8,	72.8,	0
Lin Dan,	5.8,	1,	84.9,	0
Srikanth Kidambi,	7.7,	2.4,	67.3,	0
Anthony Ginting,	6.4,	0.8,	63,	0
Jonatan Christie,	6.4,	1.6,	67.3,	0
Kenta Nishimoto,	5.9,	0.8,	64.1,	0
Tommy Sugiarto,	5.8,	0.4,	63.8,	0
Sameer Verma,	5.7,	0.6,	69.1,	0
Ng Ka Long,	5.6,	0.6,	63.6,	0
Anders Antonsen,	5.5,	0.2,	76.4,	0
Lee Chong Wei,	5.2,	0,	84.1,	0
Kantaphon Wangcharoen,	5.1,	1,	59.3,	0
Kanta Tsuneyama,	4.9,	0.8,	65.7,	0
Khosit Phetpradab,	5,	0.6,	58.8,	0
Jan O Jorgensen,	4.9,	1,	65.6,	0
H. S. Prannoy,	4.8,	0.6,	62.3,	0
Lu Guangzu,	4.5,	0.8,	66.2,	0
Lee Dong Keun,	4.5,	0.2,	56.5,	0
Rasmus Gemke,	4.5,	1,	67.8,	0
Daren Liew,	4.3,	0.2,	56.1,	0
Huang Yuxiang,	4.3,	0.8,	56.4,	0
Sai Praneeth,	4.2,	0.8,	64.2,	0
Suppanyu Avihingsanon,	4.1,	0.4,	55.9,	0
Brice Leverdez,	4.2,	0.2,	57.6,	0
Lee Zii Jia,	4.1,	0.2,	71.5,	0
Lee Hyun Il,	4.1,	0,	73.9,	0
Hans-Kristian Vittinghus,	4,	0.4,	63,	0
Rajiv Ouseph,	4,	0.2,	63.3,	0
Wang Tzu Wei,	4,	0.4,	61.8,	0
Wong Wing Ki,	3.9,	0,	51.8,	0
Lee Cheuk Yiu,	3.8,	0,	62.1,	0
Mark Caljouw,	3.7,	0,	63.6,	0
Sittikom Thammasin,	3.6,	0.4,	67.3,	0
Yu Igarahi,	3.5,	0,	66.1,	0
Kazumasa Sakai,	3.4,	0.2,	60.6,	0
Hsu Jen Hao,	3.4,	0,	55.2,	0
Ihsan Mustofa,	3.4,	0,	60.9,	0
Zhao Junpeng,	3.3,	0,	65.9,	0
Kashyap Parupalli,	3.3,	0.8,	58.7,	0
Lucas Corvee,	3.3,	0,	58.8,	0
Ygor Coelho,	3.2,	0,	67.9,	0
Victor Svenden,	3.1,	0,	72.2,	0
Chong Wei Feng,	3,	0,	59.3,	0
Subhankar Dey,	3,	0.2,	61.9,	0
Misha Zilberman,	3,	0,	54.4,	0
Loh Kean Yew,	3,	0,	63.5,	0
Shesar Rhustavito,	3,	0,	65.2,	0
